exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
resnet-latest,train,ring1,Fold-1,hr,['red-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,219,4.01±0.26,5.52±1.97,5.56±0.37,0.86±0.03
resnet-latest,train,ring2,Fold-1,hr,['red-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,228,4.22±0.26,5.81±1.99,5.56±0.36,0.84±0.04
resnet-latest,train,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,81,4.88±0.29,5.52±1.74,29.17±2.47,0.36±0.10
resnet-latest,train,ring2,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,69,3.48±0.32,4.34±1.86,21.36±3.52,0.09±0.12
inception-time-latest,train,ring1,Fold-1,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,16,5.61±1.33,7.62±4.84,6.86±1.51,0.75±0.18
inception-time-latest,train,ring2,Fold-1,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,8,4.68±1.20,5.66±4.04,6.46±1.78,0.72±0.28
inception-time-latest,train,ring1,Fold-1,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,27,5.13±0.65,6.11±2.95,6.70±0.82,0.86±0.10
inception-time-latest,train,ring2,Fold-1,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,17,10.82±2.05,13.57±7.11,12.43±2.08,0.52±0.22
inception-time-latest,train,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,219,5.66±0.33,7.49±2.41,7.95±0.50,0.77±0.04
inception-time-latest,train,ring2,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,228,5.74±0.33,7.61±2.52,7.42±0.42,0.75±0.04
inception-time-latest,train,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,81,4.55±0.29,5.23±1.72,28.43±2.84,0.23±0.11
inception-time-latest,train,ring2,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,69,3.80±0.30,4.55±1.70,22.00±3.00,0.18±0.12
transformer-latest,train,ring1,Fold-1,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,16,3.38±0.74,4.42±2.80,4.38±1.03,0.88±0.13
transformer-latest,train,ring2,Fold-1,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,8,4.90±0.95,5.50±3.20,6.90±1.43,0.66±0.31
transformer-latest,train,ring1,Fold-1,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,27,3.59±0.56,4.60±2.78,4.75±0.79,0.90±0.09
transformer-latest,train,ring2,Fold-1,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,17,9.53±1.27,10.80±5.07,11.53±1.34,0.67±0.19
transformer-latest,train,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,219,10.57±0.76,15.38±5.21,14.54±1.04,0.52±0.06
transformer-latest,train,ring2,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,228,9.70±0.36,11.11±2.85,13.05±0.56,0.29±0.06
transformer-latest,train,ring1,Fold-1,spo2,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,219,6.36±0.28,7.56±2.06,6.61±0.29,0.05±0.07
transformer-latest,train,ring2,Fold-1,spo2,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,228,14.25±0.21,14.60±2.45,14.70±0.21,-0.11±0.07
transformer-latest,train,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,81,4.05±0.30,4.84±1.68,27.30±3.57,0.13±0.11
transformer-latest,train,ring2,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,69,3.96±0.31,4.74±1.78,22.60±3.02,0.12±0.12
mamba2-latest,train,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.001,mse,16,81,6.24±0.50,7.67±2.97,49.43±7.03,-0.19±0.11
mamba2-latest,train,ring2,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.001,mse,16,69,3.31±0.40,4.70±2.32,23.96±4.79,-0.06±0.12
